Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
imcont_start,Added later,,Number,What contact# variable did we start adding the extra people at? (ex: 5 would mean contact5 would be first one we manually added),,,,,,,,,,,,,
agecontact1,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",approximately,,,,,,,RH,,,,
maskcontact1,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,,,,,,,
touchcontact1,explanationexample,,yesno,Did you touch?,,,,,,,,,RH,,,,
contextcontact1,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,,,,,,,
locationcontact1,explanationexample,,text,What is the location of where you interacted?,,,,,,,,,,,,,
timecontact1,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,,,,,,,
another,explanationexample,,yesno,Did you have contact with another person/s?,,,,,,,,y,,,,,
contact2,explanationexample,,text,Contact title or description of person/s,,,,,,,[another] = '1',y,RH,,,,
agecontact2,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",approximately,,,,,[another] = '1',,RH,,,,
maskcontact2,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another] = '1',,,,,,
touchcontact2,explanationexample,,yesno,Did you touch?,,,,,,,[another] = '1',,RH,,,,
contextcontact2,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another] = '1',,,,,,
locationcontact2,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another] = '1',,,,,,
timecontact2,explanationexample,,radio,How long did you spend with them during the whole day?,"0, Less than 10 minutes | 1, 10-30 minutes | 2, 30-60 minutes | 3, > 1 hr",,,,,,[another] = '1',,,,,,
another_2,explanationexample,,yesno,Did you have contact with another person?,,,,,,,[another] = '1',y,,,,,
contact3,explanationexample,,text,Contact title or description of person/s,,,,,,,[another_2] = '1',y,RH,,,,
agecontact3,explanationexample,,checkbox,Age/s of Contact/s,"0, 0-17 | 1, 18-25 | 2, 26-64 | 3, 65+",,,,,,[another_2] = '1',,RH,,,,
touchcontact3,explanationexample,,yesno,Did you touch?,,,,,,,[another_2] = '1',,RH,,,,
maskcontact3,explanationexample,,radio,Were you wearing a mask?,"1, We both/all were | 2, I was, they were not | 3, I was, some did and some did not | 4, I was not, they were | 5, I was not, some did and some did not | 6, Neither were/ No one was",,,,,,[another_2] = '1',,,,,,
contextcontact3,explanationexample,,checkbox,In what context(s) did you interact with this/these person/s,"0, My home | 1, Work | 2, Leisure | 3, Travel | 4, Shopping | 5, Other",,,,,,[another_2] = '1',,,,,,
locationcontact3,explanationexample,,text,What is the location of where you interacted?,,,,,,,[another_2] = '1',,,,,,
